Q10,Label
"We in the U.A.E. have no such word as 'impossible'; it does not exist in our lexicon. Such a word is used by the lazy and the weak, who fear challenges and progress.",Dubai
Habibi Come to Dubai,Dubai
"richness, very rich, oil, gas, poor workers that work there",Dubai
City of the future,Dubai
Luxury.,Dubai
What happens in Dubai stays in Dubai,Dubai
"People say I'm extravagant because I want to be surrounded by beauty. But tell me, who wants to be surrounded by garbage?",Dubai
"""Little slice of heaven""",Dubai
large infrastructure projects,Dubai
"A sibling is the one person you rely on, fight with, and love unconditionally.",Dubai
The city of wealth.,Dubai
"""Oil""",Dubai
ultramodern architecture and a lively nightlife scene,Dubai
"Habibi, come to Dubai!",Dubai
"No quote, just big buildings.",Dubai
"""What happens in Vegas stays in Vegas"" but the Arab version",Dubai
The tallest building in the world.Â ,Dubai
A city with a lot of cultures and great architecture with the world's tallest skyscraper.Â ,Dubai
pretty but shallow,Dubai
"Â ""Always remember!!!! They want you broke!! SO GET MONEY ! FYI it cost money to eat !"""" ~ DJ KHALED on X",Dubai
The Burj Khalifa is the world's tallest skyscraper.,Dubai
Rich,Dubai
luxury,Dubai
The city where the world comes to look.,Dubai
"Rich, sport cars, Dubai tower, desert, beach, bikini, crime",Dubai
"""Innovation distinguishes between a leader and a follower."" ~ Steve Jobs

""If I had asked people what they wanted, they would have said faster horses."" ~ Henry Ford",Dubai
Money and oil,Dubai
Dictatorship,Dubai
â€œItâ€™s a city of gold!â€,Dubai
"In Dubai, we don't wait for things to happen, we make them happen.",Dubai
Habibi come to Dubai,Dubai
where dreams reach new heightsÂ ,Dubai
Never goodbye in Dubai.,Dubai
"Nothing in particular, I don't know much about Dubai.",Dubai
A little slice of heaven.,Dubai
welcome,Dubai
burj khalifa,Dubai
"Power corrupts, absolute power corrupts absolutely.",Dubai
rich gets richer,Dubai
Never settle for less.,Dubai
An oasis in the desert,Dubai
1,Dubai
Money can't buy you happiness.,Dubai
your line is not long enough,Dubai
A place that you will never forget (probably),Dubai
"""we don't wait for things to happen, we make them happen.""",Dubai
"We shape our buildings, thereafter they shape us.",Dubai
What are your superpowers again? I'm rich.,Dubai
Tall buildings and expensive cars.,Dubai
0% income tax,Dubai
"â€œDubai, with all of its glitz and glamour rose in the heart of the desert.â€",Dubai
Go big or go home,Dubai
money,Dubai
Flashy and lavish,Dubai
"A city of excessÂ 

Built on a house of cards (oil source is finite)",Dubai
Money is King,Dubai
Burj Khalifa,Dubai
It is the desert miracle.,Dubai
wrenching life from the dessert,Dubai
"money, money, money, money",Dubai
rich people energy,Dubai
luxurious,Dubai
Richï¼,Dubai
I think this city is great and gorgeous.,Dubai
Money Money Money,Dubai
"""Here comes the money..."" -Naughty by Nature, Here Comes the Money",Dubai
rich,Dubai
"No word such as ""impossible"" exist",Dubai
"""Where tradition and the present meet the future""",Dubai
a city of luxury,Dubai
"money, rich, and skyscrapers.",Dubai
"""Money makes the world go round""",Dubai
Modern-day slavery.,Dubai
"""habibi, come to dubai""",Dubai
Dubai is my dream honeymoon destination.,Dubai
An economic city divided by class and based on oil. Close to tradition but a tourist trap.,Dubai
"""Money can't buy happiness"".",Dubai
I'm on top of the world,Dubai
"""Work hard until Dubai is cheaper for you""",Dubai
the tallest tower in the world is the burj khalifa,Dubai
"""Habibi come to Dubai""",Dubai
Wealth belongs to the person who enjoys it and not to the one who keeps it.,Dubai
"Not much, doesn't have much understanding of the city",Dubai
Home is where you are loved the most and act the worst.,Dubai
"Habibi, come to Dubai",Dubai
Skyscraper,Dubai
"""You said money can't buy happiness?""",Dubai
"""Money, Money, and Money""",Dubai
"""A city beyond your wildest dreams""",Dubai
Money can buy happiness,Dubai
safe place,Dubai
Fast and furious,Dubai
Exploitation of migrant workers,Dubai
â€œI want to go to â€“ whatâ€™s that hot country with a lot of money? â€“ Dubai.â€-Â Grandmaster Flash,Dubai
Rich and rich,Dubai
Like an oasis in the dessert where the sky is the limit!,Dubai
A city mixed between rural sands and urban skyscrapers.,Dubai
Dubai will never settle anything for less than the first place.,Dubai
Beautiful but empty candy wrapper,Dubai
"Very hot, many petroleum, rich people, and Burj Al Arab",Dubai
a parody of the 21st century,Dubai
riâ€†ch,Dubai
The city is a dream for the rich and a nightmare for the poor.,Dubai
Hot weather,Dubai
"""when in rome, do as the romans do""",Dubai
Excellent facade but disgusting under the surface,Dubai
â€œTo infinity and beyondâ€,Dubai
the land of the rich,Dubai
Money cannot buy passion.,Dubai
"""In Dubai, we don't wait for things to happen, we make them happen.""",Dubai
A city of wonder,Dubai
Only in Dubai.,Dubai
"Dubai is a city of dreams, where the world gathers to marvel at the crossroads of innovation and tradition.",Dubai
"Vivid, rich and authentic.",Dubai
"Habibi, Welcome to Dubai!",Dubai
The sky is not the limit,Dubai
"""Money is everything""",Dubai
"Don't count the days, make the days count",Dubai
That's a lot of money,Dubai
"""Habibi, Come to Dubai""",Dubai
no taxes! (slave labour),Dubai
"no taxes

wealthy

Â ",Dubai
City of futuristic infrastructure,Dubai
"""The sky is not the limit""",Dubai
"When it comes to wealth, Dubai doesn't just talk the talk; it builds the skyline",Dubai
big buildings big cars big houses,Dubai
Home of the Burj Khalifa.,Dubai
"Very amazing and beautiful looking city, but built on poor decisions and bad infrastructure.",Dubai
Burj Khalifa,Dubai
"""If you can dream it, you can do it"" - Walt Disney",Dubai
Rich as hell,Dubai
Something about airlines,Dubai
"""The city of the future""",Dubai
rich,Dubai
A rich city,Dubai
"""Dubai is a parody of the 21st century""",Dubai
Rich arabic men,Dubai
Oh No,Dubai
the future is now,Dubai
The only place where the sky is not the limit,Dubai
Poverty is the parent of revolution and crime.,Rio de Janeiro
Living La Vida Loca,Rio de Janeiro
El Carnival !Â ,Rio de Janeiro
Safety first,Rio de Janeiro
Rio digennaro,Rio de Janeiro
In the country with the most World Cup wins.,Rio de Janeiro
"Oh, Rio de Janeiro, let me get lost in your rhythm.",Rio de Janeiro
"Fun, so much fun",Rio de Janeiro
One mans trash is another mans treasure,Rio de Janeiro
Good,Rio de Janeiro
"""Carnival time""",Rio de Janeiro
Football,Rio de Janeiro
Letâ€™s go party !!!,Rio de Janeiro
It's a beautiful day,Rio de Janeiro
Life is colorful,Rio de Janeiro
a new world - olympics,Rio de Janeiro
"Fifa world cup

Â ",Rio de Janeiro
"""Great views are not meant to be captured. They are meant to be experienced""",Rio de Janeiro
"soccer, birds, parrots, carnival, party, christ",Rio de Janeiro
Welcome to Rio,Rio de Janeiro
Soccer,Rio de Janeiro
this is brazil,Rio de Janeiro
The passionate city of samba,Rio de Janeiro
Carnivals and football,Rio de Janeiro
"""lets party""",Rio de Janeiro
Festival never ends,Rio de Janeiro
"Thus, the sculpture serves to give people one thought - 'Everything is in God's hands'",Rio de Janeiro
A city of love and adventure.,Rio de Janeiro
All in one rhythm,Rio de Janeiro
Look that statue over there. Where are the football players?,Rio de Janeiro
"People don't take trips, trips take people",Rio de Janeiro
City of God,Rio de Janeiro
"""In Rio de Janeiro, it's always a beautiful day.""",Rio de Janeiro
A city full of passion,Rio de Janeiro
"Colourful decorations, enthusiastic culture, and party lifestyle.Â ",Rio de Janeiro
Christ the Redeemer,Rio de Janeiro
City of football,Rio de Janeiro
"Get it-get it-get it-get it-get it-get it girl! Get-ge-get-ge-get it girl! Take her, take her to the flow! Show her, show her how you roll! Drop it! Drop it! Drop it low! Drop it, d-drop it low!",Rio de Janeiro
life of the party,Rio de Janeiro
"""Life is a succession of moments. To live each one is to succeed."" - Coreta Kent",Rio de Janeiro
"""Land of Football""",Rio de Janeiro
Samba time,Rio de Janeiro
"Football

Statue",Rio de Janeiro
Soccer,Rio de Janeiro
Sports & Football,Rio de Janeiro
Vibrant and full of energy,Rio de Janeiro
we are so different but yet the same insideÂ ,Rio de Janeiro
"""parrots and soccer""",Rio de Janeiro
Celebrations and the carnival,Rio de Janeiro
Work hard play harder.,Rio de Janeiro
Put your flags up to the sky,Rio de Janeiro
Rio,Rio de Janeiro
Samba,Rio de Janeiro
"""Aunque digan que soy un bandolero donde voy""",Rio de Janeiro
"Football is like life - it requires preservences, self-denial, hard work , dedication and respectÂ ",Rio de Janeiro
"""Carnival and beaches""",Rio de Janeiro
"Soccer, beach, tropical weather, slums, carnivals...",Rio de Janeiro
Lets play football,Rio de Janeiro
"In Rio de Janeiro, it's always a beautiful day.",Rio de Janeiro
Enthusiasm of sports and life.,Rio de Janeiro
Parado No BailÃ£o,Rio de Janeiro
"Do not be anxious about tomorrow, for tomorrow will be anxious for itself",Rio de Janeiro
"""Roots may grow deep, but your wings still take you places""",Rio de Janeiro
.,Rio de Janeiro
"""Rio de Janeiro, a city of love and adventure.""",Rio de Janeiro
"""Adventure is worthwhile.""",Rio de Janeiro
"""Live Laugh Love""",Rio de Janeiro
Jesus saves.,Rio de Janeiro
"""best footballers and martial artists""",Rio de Janeiro
It's always a beautiful day,Rio de Janeiro
"perhaps something about football or celebrations, lights and colors",Rio de Janeiro
Life is a carnival,Rio de Janeiro
the city of dreams,Rio de Janeiro
Worst world cup loss of all time,Rio de Janeiro
"""Good weather good people""",Rio de Janeiro
The city which the god takes care of.,Rio de Janeiro
Viva footbal.,Rio de Janeiro
"We don't want a torch, we want our homes",Rio de Janeiro
The city where the magic happens.,Rio de Janeiro
Where vibrant culture dances with natural beauty,Rio de Janeiro
its always beautiful.,Rio de Janeiro
"This is the coolest place I've ever seen! You know, despite the obvious health code violations! (quote is from a movie)",Rio de Janeiro
"In Rio, there are only two seasons: Carnival and the wait for the next Carnival.",Rio de Janeiro
A city of love and friendship.,Rio de Janeiro
"""Carnival capital""",Rio de Janeiro
Another city built next to the sea . . .,Rio de Janeiro
Jesus statueÂ ,Rio de Janeiro
"With the sound of waves, Rio de Janeiro sings its song.",Rio de Janeiro
Tropical,Rio de Janeiro
Party hard,Rio de Janeiro
The home of the games.,Rio de Janeiro
idk,Rio de Janeiro
"""Beautiful and colorful and lots of birds""",Rio de Janeiro
"Carnival, art, music and beach. Also a Disney movie.",Rio de Janeiro
no quotes come to mind.,Rio de Janeiro
It's not the capital city of brazil,Rio de Janeiro
Rio 2016 summer olympics.,Rio de Janeiro
good in soccer,Rio de Janeiro
Streets are filled with music and joy,Rio de Janeiro
2016 Summer Olympic Games,Rio de Janeiro
Where the party never stops.,Rio de Janeiro
"""The home to football.""",Rio de Janeiro
Rio!,Rio de Janeiro
"In Rio de Janeiro, it's always a beautiful day.",Rio de Janeiro
Football is life,Rio de Janeiro
"Feeling blessed, joy the life",Rio de Janeiro
"""yalayalayalayala~""",Rio de Janeiro
raise the roof,Rio de Janeiro
Life of the party.,Rio de Janeiro
"Redemption

Â ",Rio de Janeiro
None.,Rio de Janeiro
Sports divide people more than politics,Rio de Janeiro
"""I'm the samba master""",Rio de Janeiro
"Rio de Janeiro is not the capital of Brazil, but it's the capital of the land of happiness",Rio de Janeiro
The fast and furious movie during the heist,Rio de Janeiro
Paradise,Rio de Janeiro
BrazilÂ ,Rio de Janeiro
This is Brazil,Rio de Janeiro
a city as vibrant as its carnivals and festivals,Rio de Janeiro
"â€œIn Rio de Janeiro, the soul of Brazil sings.â€",Rio de Janeiro
The first city that comes to my mind when someone says Brazil.Â ,Rio de Janeiro
Making memories in the marvelous city.,Rio de Janeiro
"Brazil? Soccer, dancing.",Rio de Janeiro
nothing,Rio de Janeiro
It's party time,Rio de Janeiro
"""RIO BABY""",Rio de Janeiro
God made Rio with a paintbrush,Rio de Janeiro
Summer Olympic Games,Rio de Janeiro
"People don't take trips, trips take people.",Rio de Janeiro
Lost in the beauty of Rio de Janeiro,Rio de Janeiro
sunny and seaside!Â ,Rio de Janeiro
nothing,Rio de Janeiro
"Culture, people, love, life",Rio de Janeiro
Jungle,Rio de Janeiro
I dont know,Rio de Janeiro
"Dance, Music, and Football.",Rio de Janeiro
Brazil's number one tourist destination,Rio de Janeiro
football,Rio de Janeiro
"Beaches, party",Rio de Janeiro
Statue of Jesus,Rio de Janeiro
Life is a carnaval.,Rio de Janeiro
fun place idk,Rio de Janeiro
"""The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart.""Â -Helen Keller",Rio de Janeiro
We love partying,Rio de Janeiro
"Samba, sun and sea",Rio de Janeiro
The movie Rio comes to mind,Rio de Janeiro
A good beach day keeps the doctor away.,Rio de Janeiro
3,Rio de Janeiro
Culturally rich with lots of things going on at once.,Rio de Janeiro
Paradono Bailao,Rio de Janeiro
"Life is a carnival, you wait in long lines to enjoy a short ride, but it's that moment that makes you feel alive",Rio de Janeiro
"""Live your passion""",Rio de Janeiro
Live your passion.,Rio de Janeiro
zoo,Rio de Janeiro
Happiness and joy,Rio de Janeiro
Party time,Rio de Janeiro
"""Good night life""",Rio de Janeiro
'Joga Bonita',Rio de Janeiro
Paradise found in Brazil.,Rio de Janeiro
Have fun!,Rio de Janeiro
Siuuuu!,Rio de Janeiro
That's Carnival,Rio de Janeiro
rio is where the gang is,Rio de Janeiro
the movie rio with the blue birds,Rio de Janeiro
cool,Rio de Janeiro
Olympic place,Rio de Janeiro
Alright Blu! You're Flying,Rio de Janeiro
Samba!,Rio de Janeiro
"""Football is awesome""",Rio de Janeiro
this city always has sunshine days and a continuous feeling of vacations floating in the air.,Rio de Janeiro
Jesus Christ,Rio de Janeiro
Sports,Rio de Janeiro
Football,Rio de Janeiro
Jesus,Rio de Janeiro
"When you feel the rhythm of your heart, you fly.Â ",Rio de Janeiro
fifa world cup soccer,Rio de Janeiro
football,Rio de Janeiro
Soccer and fun,Rio de Janeiro
Not all birds fly! There are ostriches...,Rio de Janeiro
"""This is brazil""",Rio de Janeiro
"In the end, it's not the years in your life that count. It's the life in your years. -Abraham Lincoln",Rio de Janeiro
"Viva La Brazil!Â 

Let's Football!",Rio de Janeiro
no answer,Rio de Janeiro
Fun and lively,Rio de Janeiro
Time to party like theres no tomorrow,Rio de Janeiro
The City of Samba.,Rio de Janeiro
soccerÂ ,Rio de Janeiro
"Very hot and sunny, partying and playing soccer",Rio de Janeiro
Football is life,Rio de Janeiro
Silence is argument carried out by other means.,Rio de Janeiro
World cup,Rio de Janeiro
"""Let me get lost in your rhythm"".",Rio de Janeiro
Culture,Rio de Janeiro
"""Alright, Blu! You're flying!""",Rio de Janeiro
Football is life,Rio de Janeiro
Carnivale!Â ,Rio de Janeiro
passionate soccer/football fans.Â ,Rio de Janeiro
The heart of Football.,Rio de Janeiro
Life of the party,Rio de Janeiro
The city of parties,Rio de Janeiro
They have a joy for life,Rio de Janeiro
"""Toto, I've a feeling we're not in Kansas anymore.""Â - Dorothy",Rio de Janeiro
Soccer and Samba,Rio de Janeiro
"""A cultural and geographical""",Rio de Janeiro
"Gooooaaaaalll! Hot women, partying and carnivals, lots of favelas, and crime.",Rio de Janeiro
Bailar Samba,Rio de Janeiro
"Summer, sunny, beaches.",Rio de Janeiro
Jesus died for our sins,Rio de Janeiro
Dreams are made of sun and feijoada.,Rio de Janeiro
"""Rio"" the movie.",Rio de Janeiro
Soccer,Rio de Janeiro
You have to fight to reach your dream. You have to sacrifice and work hard for it.,Rio de Janeiro
"â€œEverything here appears calculated to inspire kind and happy feelings, for everything is delicate and beautiful.â€

â€“ Washington Irving",Rio de Janeiro
Samba soul in the heart of Rio de Janeiro.,Rio de Janeiro
"In Rio de Janeiro, it's always a beautiful day.",Rio de Janeiro
"""SUIIIIIIIIIIIII"": RonaldoÂ ",Rio de Janeiro
"rio, angery birds, olympic, soccer",Rio de Janeiro
the beautiful game,Rio de Janeiro
Please come to Brazil.,Rio de Janeiro
Maybe we can do summers in Rio,Rio de Janeiro
Live like tomorrow never comes.,Rio de Janeiro
"""It's always a beautiful day""",Rio de Janeiro
Coastal city and vacation destination,Rio de Janeiro
The cityâ€™s nocturnal beauty,Rio de Janeiro
That city from the movie Rio.,Rio de Janeiro
"""Tiki-taka""",Rio de Janeiro
main cultural hub in Brazil,Rio de Janeiro
Enjoying life one Carnival at a time!,Rio de Janeiro
Jose Aldo,Rio de Janeiro
"â€œBrazil was, is, and will be in fashion.â€",Rio de Janeiro
Jungle forests,Rio de Janeiro
I think of soccer and carnivals,Rio de Janeiro
01-Jul,Rio de Janeiro
"""Failure is not a setback, but a stepping stone to greatness."" ~ Charles Oliveira",Rio de Janeiro
Rio (that bird movie),Rio de Janeiro
Lively,Rio de Janeiro
carnival,Rio de Janeiro
"Rio, a perfect city that is almost impossible to not love.",Rio de Janeiro
"Salute Mi Familia
-----------------",Rio de Janeiro
"""I love Mexicans"" - someone",Rio de Janeiro
"Jesus, soccerÂ ",Rio de Janeiro
"Football, nymar",Rio de Janeiro
â€œAinâ€™t no party like a pony partyâ€,Rio de Janeiro
"Rio de Janeiro is not the capital of Brazil, but it's the heart of the country.",Rio de Janeiro
Christ the Redeemer,Rio de Janeiro
"Brazil eats, sleeps and drinks football. It lives football!",Rio de Janeiro
"In Rio, it's real.",Rio de Janeiro
"Nothing in particular, I am not very knowledgeable about this city.",Rio de Janeiro
Family.,Rio de Janeiro
score and birds,Rio de Janeiro
jesus,Rio de Janeiro
Social butterflies come alive at night.,Rio de Janeiro
Carnival,Rio de Janeiro
Beautiful sunny days,Rio de Janeiro
Where the sun meets the sand,Rio de Janeiro
no,Rio de Janeiro
Life is either a daring adventure or nothing.,Rio de Janeiro
Futball,Rio de Janeiro
"""A city where the land meets the sea, the forest meets the city, and the streets sing with rhythm and color.""",Rio de Janeiro
"Let me take you to Rio, fly over the ocean like an eagle.",Rio de Janeiro
You're going to Brazil.,Rio de Janeiro
Soccer and olympics.,Rio de Janeiro
Rio!,Rio de Janeiro
"""In Brazil every kid starts playing street football very early. It's in our blood. As a professional I started at Sao Cristovao in the city of Rio de Janeiro. Of course I also played in the beach soccer league, barefoot.""",Rio de Janeiro
Dance the night awayÂ ,Rio de Janeiro
football,Rio de Janeiro
Christ the Redeemer,Rio de Janeiro
"Carnival

playing football on the beach

Â ",Rio de Janeiro
Play or die,Rio de Janeiro
Fifa world cup,Rio de Janeiro
The city of fiesta.,Rio de Janeiro
big jesus statue,Rio de Janeiro
Football!,Rio de Janeiro
the blue bird rio,Rio de Janeiro
neymar jr siuu,Rio de Janeiro
It is a great city.,Rio de Janeiro
Fast and Furious 5,Rio de Janeiro
"""Oh, let's break it down!"" -LÃºcio from Overwatch",Rio de Janeiro
"Olympics

Â ",Rio de Janeiro
"Live your life, don't get sucked into one",Rio de Janeiro
"""Where people come together and celebrations come to life.""",Rio de Janeiro
City of fun,Rio de Janeiro
beautiful beach and mountain,Rio de Janeiro
"""Samba Samba""",Rio de Janeiro
Alot of crime.,Rio de Janeiro
"""amigo, vamos""",Rio de Janeiro
"In Rio de Janeiro, every cop has to make a choice. He either turns dirty, keeps his mouth, or goes to war.",Rio de Janeiro
"A tropical, festive place with a lot of community spirit.",Rio de Janeiro
"""Life is to be enjoyed while it lasts"".",Rio de Janeiro
Life is better at the beach,Rio de Janeiro
"""Enjoy your life to the fullest""",Rio de Janeiro
Samba de brasilÂ ,Rio de Janeiro
"""pele""",Rio de Janeiro
Sun-kissed and carefree in Rio de Janeiro.,Rio de Janeiro
Doesn't really know this city,Rio de Janeiro
"""The night is alive with the vibrant energy of the city""",Rio de Janeiro
I love Rio de Janeiro,Rio de Janeiro
Tropical,Rio de Janeiro
"""The Marvelous City""",Rio de Janeiro
"In Rio de Janeiro, it's always a beautiful day.",Rio de Janeiro
"""Better to be safe then sorry""",Rio de Janeiro
Welcome to brazil,Rio de Janeiro
futbol,Rio de Janeiro
the big statue of Jesus Christ,Rio de Janeiro
Christ The Redeemer,Rio de Janeiro
